Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
1,4200,3,277,2,3,1,1991,18
2,7900,5,427,2.9,0,1,1999,261
2,13300,3,358,5,1,1,2003,232
0,23000,0,240,4.2,3,1,2007,219
5,18300,0,120,2,3,1,2011,222
0,14200,4,200,2.7,0,1,2006,64
4,10799,4,193,1.5,0,1,2012,194
6,1400,2,212,1.8,1,0,1999,145
4,11950,4,177,1.5,0,1,2011,194
4,2500,3,260,1.79,3,1,1994,6
0,9500,4,165,2.7,1,1,2003,65
6,10500,3,100,1.8,3,1,2008,208
5,16000,0,250,4.7,1,1,2001,168
4,8600,1,84,1.5,0,1,2012,108
1,2990,2,203,2,3,0,2001,17
5,26500,0,21,2,3,1,2013,222
0,3500,4,250,2.5,0,0,1998,64
5,38233,2,0,2.4,0,1,2016,155
6,7500,1,132,1.4,0,1,2006,214
0,6800,3,225,2.4,1,1,1998,64
3,10500,0,130,2.4,1,1,2006,198
0,24900,3,163,4.2,0,1,2008,67
6,20800,0,151,3,0,1,2008,284
0,6500,3,330,2.4,3,1,1999,64
2,13566,2,171,2.2,2,0,2011,296
3,8500,1,65,1.3,3,1,2010,109
0,2900,3,1,2.3,1,1,1989,1
1,21500,2,72,3,3,1,2007,305
3,17900,0,87,3.8,1,1,2008,203
1,28500,0,160,4.8,1,1,2008,299
6,9800,5,160,1.9,0,1,2009,101
5,14500,3,147,2.4,1,1,2006,102
1,6000,3,300,2.8,3,1,1996,35
1,67500,0,1,2.5,0,1,2016,299
0,33900,2,14,1.8,3,1,2014,281
2,9800,5,230,2.15,0,1,2004,296
2,63000,0,86,5.5,3,1,2009,125
1,7700,3,326,2.8,3,1,1998,35
2,9600,5,30,2.2,0,1,2006,296
5,12800,3,181,2.4,3,1,2008,102
1,41000,0,80,3,3,1,2012,301
1,3700,3,231,2.5,3,1,1990,34
2,29500,3,134,5,3,1,2008,232
1,6500,3,335,2.8,3,1,1996,35
4,8250,5,66,1.5,0,1,2014,159
2,19500,0,172,3.5,2,1,2008,185
2,13500,3,317,5,3,1,2001,232
2,9200,5,266,2.2,0,1,2008,296
6,5000,4,265,2,0,0,2006,208
1,23900,0,162,4.8,3,1,2007,299
1,36900,3,81,3,0,1,2010,46
1,8900,2,253,1.8,3,1,1995,17
4,7800,5,200,1.9,0,1,2002,286
1,1650,3,270,1.8,3,0,1995,17
2,50000,3,240,3.5,3,1,2006,228
4,9700,5,245,2,0,1,2008,286
2,9999,5,127,2.2,0,1,2005,296
0,69999,0,21,3,3,1,2015,65
3,6500,3,152,1.6,3,1,2007,164
0,4300,3,267,1.9,0,0,2003,64
0,3000,3,267,2.5,0,0,1999,64
2,8700,3,240,2.2,0,1,2000,115
4,9000,4,178,2,3,1,2008,248
2,20400,3,190,1.8,1,1,2011,115
1,9000,3,175,3,3,0,2006,23
2,13400,3,105,1.8,3,1,2006,115
6,3700,3,195,1.9,0,0,2001,207
6,9850,5,126,2,0,1,2012,101
0,3700,1,420,2,0,0,2004,60
5,15700,0,195,4,1,1,2003,173
2,24500,3,180,2.2,0,1,2012,115
3,7500,3,195,1.6,1,1,2007,164
6,11990,5,231,2.5,0,1,2002,104
6,13708.5,1,51,1.4,3,1,2014,214
1,8200,3,287,2.5,1,1,1999,34
4,6999,5,222,1.5,0,1,2009,159
4,6750,4,214,1.5,0,1,2004,194
0,18500,3,245,3,0,1,2006,67
5,14299,3,83,2,3,1,2009,72
2,28500,0,210,3.2,0,1,2007,127
3,17000,0,89,3.8,3,1,2008,203
2,25700,0,130,4.7,1,1,2008,130
0,2650,4,333,2.5,0,0,2000,64
3,8500,3,116,1.5,3,1,2008,166
2,4000,3,405,2,0,1,1992,8
4,11000,2,131,1.5,0,1,2011,159
2,14500,3,138,2,3,1,2007,115
